Offset,PID,Handle,Access,Type,Details,
0x821fab20,1040,0xc60,0x1f03ff,Thread,TID 336 PID 1040,
0xe1658258,1040,0xc64,0x1f0001,Port,senssvc,
0x82171e58,1040,0xc68,0x21f0003,Event,,
0x82419d80,1040,0xc6c,0x1f0003,Event,,
0x8222e980,1040,0xc70,0x1f03ff,Thread,TID 120 PID 1040,
0x81fa4580,1040,0xc74,0x1f0003,Timer,,
0x82197868,1040,0xc78,0x1f0003,Event,,
0x823e07d0,1040,0xc7c,0x100003,Semaphore,,
0x81ecbc68,1040,0xc80,0x1f0003,Event,,
0xe217e788,1040,0xc84,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x8206b2a8,1040,0xc88,0x4,WmiGuid,,
0xe1f11d78,1040,0xc8c,0x1f0001,Port,XactSrvLpcPort,
0xe1ef8d68,1040,0xc90,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f18598,1040,0xc94,0x1f0001,Port,,
0xe1f15bb0,1040,0xc98,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f37150,1040,0xc9c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f22250,1040,0xca0,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1eefb18,1040,0xca4,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f3d418,1040,0xca8,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f36448,1040,0xcac,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x81fa1c68,1040,0xcb0,0x1f0003,Event,,
0x822246f0,1040,0xcb4,0x1f0001,WaitablePort,TRKWKS_PORT,
0x825c1628,1040,0xcb8,0x1f0003,Event,TRKWKS_EVENT,
0x81fa5f90,1040,0xcbc,0x12019f,File,\Device\NamedPipe\trkwks,
0x8218e730,1040,0xcc0,0x12019f,File,\Device\NamedPipe\trkwks,
0xe1c2f030,1040,0xcc4,0x1f0001,Port,trkwks,
0x81fa1bc8,1040,0xcc8,0x1f0003,Event,,
0x82192da0,1040,0xccc,0x1f03ff,Thread,TID 612 PID 1040,
0x82198d38,1040,0xcd0,0x1f0003,Event,,
0x823fd678,1040,0xcd4,0x12019f,File,\Device\NamedPipe\srvsvc,
0x82073308,1040,0xcd8,0x12019f,File,\Device\NamedPipe\srvsvc,
0x81fa8698,1040,0xcdc,0x21f0003,Event,,
0x82235298,1040,0xce0,0x1f0003,Event,,
0x821b45f8,1040,0xce4,0x100003,Event,,
0x8222aa00,1040,0xcec,0x1f0003,Event,,
0xe1eefc80,1040,0xcf4,0x1f0001,Port,,
0x82197938,1040,0xcf8,0x1f0003,Event,,
0x81f967e8,1040,0xcfc,0x1f03ff,Thread,TID 820 PID 1040,
0x821a8da0,1040,0xd00,0x1f03ff,Thread,TID 2036 PID 1040,
0x821acff0,1040,0xd04,0x1f0003,Event,,
0x82513750,1040,0xd08,0x1f03ff,Thread,TID 1060 PID 1040,
0xe1f5a388,1040,0xd0c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1cbadd0,1040,0xd10,0xf003f,Key,MACHINE\SOFTWARE\MICROSOFT\EVENTSYSTEM\{26C409CC-AE8,
0xe2155020,1040,0xd14,0xf003f,Key,MACHINE\SOFTWARE\MICROSOFT\EVENTSYSTEM\{26C409CC-AE8,6-11D1-B616-00805FC79216}\EVENTCLASSES
0xe1cbad68,1040,0xd18,0x20019,Key,MACHINE\SOFTWARE\CLASSES,6-11D1-B616-00805FC79216}\SUBSCRIPTIONS
0xe1f5a3f0,1040,0xd1c,0x20019,Key,MACHINE\SYSTEM\SETUP,
0x8226cc90,1040,0xd20,0x100003,Event,,
0x821af540,1040,0xd24,0x1f0003,Event,,
0x82220450,1040,0xd28,0x1f0003,Event,,
0x821b4490,1040,0xd2c,0x1f0003,Event,,
0xe1f4b758,1040,0xd30,0x1f0001,Port,srrpc,
0x82197528,1040,0xd34,0x1f03ff,Thread,TID 900 PID 1040,
0x824f1818,1040,0xd38,0x100003,Event,,
0x824f17e8,1040,0xd3c,0x1f0003,Event,,
0x824f1938,1040,0xd40,0x100003,Event,,
0xe1f37020,1040,0xd44,0x10,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\E,
0xe1f9c6b8,1040,0xd48,0x20019,Key,MACHINE\SOFTWARE\CLASSES,POCH
0xe1f34ad0,1040,0xd4c,0x10,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\LANMANSERVER\P,
0x824f18d8,1040,0xd50,0x1f0003,Event,,ARAMETERS
0x82225a10,1040,0xd54,0x4,WmiGuid,,
0x82428498,1040,0xd58,0x1f0003,Event,,
0x823308e8,1040,0xd5c,0x1f0003,Event,,
0xe17b1ef8,1040,0xd60,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1c2f0f8,1040,0xd64,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe2145bd0,1040,0xd68,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x821b9978,1040,0xd6c,0x1f0003,Event,,
0x824f12d0,1040,0xd70,0x1f0003,Event,,
0x81fdd5c8,1040,0xd74,0x1f0003,Event,,
0x8207d548,1040,0xd78,0x1f0003,Event,,
0x8207d578,1040,0xd7c,0x1f0003,Event,,
0x81f7f188,1040,0xd80,0x100004,WmiGuid,,
0x82174198,1040,0xd84,0x1f0003,Event,,
0x81fc8418,1040,0xd88,0x1f0003,Event,W32TIME_NAMED_EVENT_SYSTIME_NOT_CORRECT,
0x81fd7d80,1040,0xd8c,0x1f0003,Event,,
0x8226cd20,1040,0xd90,0x1f0003,Event,,
0x8226cd50,1040,0xd94,0x1f0003,Event,,
0x822326a0,1040,0xd98,0x1f0003,Event,,
0x82232230,1040,0xd9c,0x1f0003,Event,,
0x825212c0,1040,0xda0,0x12019f,File,\Device\NamedPipe\W32TIME,
0x82521228,1040,0xda4,0x12019f,File,\Device\NamedPipe\W32TIME,
0x82330858,1040,0xda8,0x1f0003,Event,,
0x825107a0,1040,0xdac,0x100000,Event,userenv: Machine Group Policy has been applied,
0x823aa7e8,1040,0xdb0,0x1f03ff,Thread,TID 1004 PID 1040,
0x81f8ba80,1040,0xdb4,0x478,Process,vmtoolsd.exe(380),
0x821c9020,1040,0xdb8,0x1f03ff,Thread,TID 1008 PID 1040,
0xe1f09e20,1040,0xdbc,0x1f0001,Port,,
0x821741c8,1040,0xdc0,0x1f0003,Event,,
0x821741f8,1040,0xdc4,0x1f0003,Event,,
0x821c9020,1040,0xdc8,0x1f03ff,Thread,TID 1008 PID 1040,
0x8207d5a8,1040,0xdcc,0x1f0003,Event,,
0x82174198,1040,0xdd0,0x1f0003,Event,,
0x8219aa70,1040,0xdd4,0x1f0003,Event,,
0x82520998,1040,0xdd8,0x1f01ff,File,\Device\Afd\Endpoint,
0xe218e228,1040,0xddc,0x10,Key,MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\AUDIT,
0x82428508,1040,0xde0,0x1f0001,Mutant,,
0x824284c8,1040,0xde4,0x1f0001,Mutant,,
0x82428468,1040,0xde8,0x1f0003,Event,,
0x82182020,1040,0xdec,0x1f03ff,Thread,TID 1012 PID 1040,
0x81fd5ea0,1040,0xdf0,0x1f0003,Event,WINMGMT_COREDLL_CANSHUTDOWN,
0xe1f65380,1040,0xdf4,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x824009a8,1040,0xdf8,0x100001,File,\Device\HarddiskVolume1\WINDOWS\system32\wbem\mof,
0x81fd5e30,1040,0xdfc,0x1f0003,Event,WINMGMT_PROVIDER_CANSHUTDOWN,
0x81fd5df0,1040,0xe00,0x1f0003,Event,WMI_SysEvent_LodCtr,
0x82523ff0,1040,0xe04,0x1f0003,Event,WMI_SysEvent_UnLodCtr,
0x82523fb0,1040,0xe08,0x1f0003,Event,WMI_RevAdap_Set,
0x82523f70,1040,0xe0c,0x1f0003,Event,WMI_RevAdap_ACK,
0x82523f30,1040,0xe10,0x1f0003,Event,WMI_ProcessIdleTasksStart,
0x824bceb8,1040,0xe14,0x1f0003,Event,WMI_ProcessIdleTasksComplete,
0x81f87380,1040,0xe18,0x1f0003,Event,,
0xe19613a8,1040,0xe1c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x824816e0,1040,0xe20,0x1f0003,Event,,
0x81f88230,1040,0xe28,0x100000,Process,svchost.exe(1180),
0xe22cfc50,1040,0xe2c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x82341a18,1040,0xe30,0x1f01ff,File,\Device\Udp,
0x8239a318,1040,0xe34,0x1f0003,Event,,
0x824bb5b8,1040,0xe38,0x1f01ff,File,\Device\Afd\Endpoint,
0x81fa8750,1040,0xe3c,0x1f0003,Event,,
0x823419e0,1040,0xe40,0x1f0003,Event,,
0x82393980,1040,0xe44,0x1f03ff,Thread,TID 284 PID 1040,
0x82075e98,1040,0xe48,0x1f0003,Event,,
0xe1f4b020,1040,0xe4c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x824bce08,1040,0xe50,0x1f0001,Mutant,WindowsUpdateTracingMutex,
0x81f966f0,1040,0xe54,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\WindowsUpdate.log,
0xe218c0c8,1040,0xe58,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x821881f0,1040,0xe5c,0x1f0001,Mutant,,
0x81f73510,1040,0xe60,0x1f0003,Event,,
0x8217c290,1040,0xe64,0x1f0003,Event,,
0xe2155548,1040,0xe68,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f07e70,1040,0xe6c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x8217c260,1040,0xe70,0x1f0003,Event,,
0x81f701a0,1040,0xe74,0x1f0003,Event,,
0x8217f2c0,1040,0xe78,0x1f03ff,Thread,TID 1084 PID 1040,
0xe1125030,1040,0xe80,0xc,Token,,
0xe231a148,1040,0xe88,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x82089f90,1040,0xe8c,0x100000,File,\Device\LanmanDatagramReceiver,
0x82179158,1040,0xe90,0x1f0003,Event,,
0x82179128,1040,0xe94,0x1f0003,Event,,
0x81f7c2c8,1040,0xe98,0x1f0003,Event,,
0xe1f2c068,1040,0xe9c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x824ae978,1040,0xea0,0x1f0003,Event,,
0x81fdd6f8,1040,0xea4,0x1f0003,Event,,
0x81f79418,1040,0xeb4,0x1f0003,Event,,
0x81fab818,1040,0xeb8,0x1f0003,Event,,
0x821a1718,1040,0xebc,0x1f0003,Event,,
0x81f7c328,1040,0xec0,0x1f0001,Mutant,,
0x821a16e8,1040,0xec4,0x1f0003,Event,,
0x821a16b8,1040,0xec8,0x1f0003,Event,,
0x82174510,1040,0xecc,0x1f0003,Event,,
0x821744e0,1040,0xed0,0x1f0003,Event,,
0x82174480,1040,0xed4,0x1f0003,Event,,
0xe1f7c228,1040,0xed8,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x81f7c298,1040,0xedc,0x1f0003,Event,,
0x82174410,1040,0xee0,0x1f0003,Event,,
0x821bf020,1040,0xee4,0x1f0001,Mutant,,
0xe1f2c0d0,1040,0xee8,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1667f48,1040,0xeec,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x81f8a530,1040,0xef0,0x1f0003,Event,,
0xe17e0618,1040,0xef4,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x821bf0d0,1040,0xef8,0x1f0003,Event,,
0xe1f360e8,1040,0xefc,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f4dc08,1040,0xf00,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x821bf0a0,1040,0xf04,0x1f0003,Event,,
0x824f1108,1040,0xf08,0x1f0003,Event,,
0x823a2bd8,1040,0xf0c,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\wbem\Reposi,
0x8219c960,1040,0xf10,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\wbem\Reposi,tory\FS\MAPPING1.MAP
0x8219c8c8,1040,0xf14,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\wbem\Reposi,tory\FS\MAPPING2.MAP
0x81fa6f90,1040,0xf18,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\wbem\Reposi,tory\FS\MAPPING.VER
0x81fa6ef8,1040,0xf1c,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\wbem\Reposi,tory\FS\INDEX.MAP
0x823a29e0,1040,0xf20,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\wbem\Reposi,tory\FS\OBJECTS.MAP
0x824f1028,1040,0xf24,0x12019f,File,\Device\HarddiskVolume1\WINDOWS\system32\wbem\Reposi,tory\FS\OBJECTS.DATA
0xe1f22538,1040,0xf28,0x20019,Key,MACHINE\SOFTWARE\CLASSES,tory\FS\INDEX.BTR
0xe1f12710,1040,0xf2c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f126a8,1040,0xf30,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f5e710,1040,0xf34,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x82182020,1040,0xf38,0x1f03ff,Thread,TID 1012 PID 1040,
0xe1f54248,1040,0xf3c,0xf0007,Section,Wmi Provider Sub System Counters,
0x8217c108,1040,0xf40,0x1f0003,Event,,
0x8217c0d8,1040,0xf44,0x1f0003,Event,,
0x8217c0a8,1040,0xf48,0x1f0003,Event,,
0x8217c078,1040,0xf4c,0x1f0003,Event,,
0x81f862c0,1040,0xf50,0x100000,Event,WBEM_ESS_OPEN_FOR_BUSINESS,
0x81fc8020,1040,0xf54,0x1f03ff,Thread,TID 1116 PID 1040,
0x8226d020,1040,0xf58,0x1f03ff,Thread,TID 1120 PID 1040,
0x81fd5e30,1040,0xf5c,0x1f0003,Event,WINMGMT_PROVIDER_CANSHUTDOWN,
0x81f90380,1040,0xf60,0x1f001f,Job,WmiProviderSubSystemHostJob,
0x81fa0cc8,1040,0xf64,0x1f0003,Event,,
0x823f5900,1040,0xf68,0x1f0003,Event,,
0x823f58a0,1040,0xf70,0x21f0003,Event,,
0x8250cbf0,1040,0xf74,0x100004,WmiGuid,,
0x823f5870,1040,0xf80,0x1f0003,Event,,
0x81f67aa0,1040,0xf88,0x1f0003,Event,,
0x81f67a70,1040,0xf8c,0x1f0003,Event,,
0x81f67a10,1040,0xf90,0x1f0003,Event,,
0x81f67a40,1040,0xf94,0x1f0003,Event,,
0x81f679e0,1040,0xf98,0x1f0003,Event,,
0x820742e0,1040,0xf9c,0x1f03ff,Thread,TID 1020 PID 1040,
0x81f679b0,1040,0xfa0,0x1f0003,Event,,
0x820aada0,1040,0xfa4,0x1f01ff,File,\Device\Afd\Endpoint,
0x8219ab90,1040,0xfa8,0x1f0003,Event,,
0x8219ab60,1040,0xfac,0x1f0003,Event,,
0x81ecbdc8,1040,0xfb0,0x1f0003,Event,,
0x8219ab30,1040,0xfb4,0x1f0003,Event,,
0x81f8b9c0,1040,0xfb8,0x100003,Semaphore,,
0xe1f4b090,1040,0xfbc,0x20019,Key,MACHINE\SOFTWARE\MICROSOFT\TRACING\IPNATHLP,
0x81f8b9f8,1040,0xfc0,0x100003,Semaphore,,
0x8219aaa0,1040,0xfc4,0x1f0003,Event,,
0x81f8b588,1040,0xfcc,0x1f0003,Event,,
0x81fa6348,1040,0xfd0,0x1f0003,Event,,
0x823fdf90,1040,0xfd4,0x12019f,File,\Device\NamedPipe\EVENTLOG,
0x824fd190,1040,0xfd8,0x1f0003,Event,,
0xe214c9e8,1040,0xfdc,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x8226b528,1040,0xfe0,0x1f0003,Event,,
0xe1f29b08,1040,0xfe4,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x81fa6218,1040,0xfe8,0x1f0003,Event,,
0x8226b4f8,1040,0xfec,0x1f0003,Event,,
0xe21225f0,1040,0xff0,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x8241a020,1040,0xff4,0x1f03ff,Thread,TID 1164 PID 1040,
0x8226b4c8,1040,0xff8,0x1f0003,Event,,
0x8239a020,1040,0xffc,0x1f03ff,Thread,TID 1136 PID 1040,
0x8226b498,1040,0x1004,0x1f0003,Event,,
0xe20dc098,1040,0x1008,0x1f0001,Port,,
0x823f2628,1040,0x100c,0x1f0003,Event,,
0xe1f3f2e8,1040,0x1010,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f59020,1040,0x1014,0x20019,Key,MACHINE\SOFTWARE\MICROSOFT\COM3,
0x823f25f8,1040,0x1018,0x1f0003,Event,,
0xe1cb7e60,1040,0x101c,0x4,Section,RotHintTable,
0xe1f59158,1040,0x1020,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x823f2598,1040,0x1024,0x1f0003,Event,,
0x821995e0,1040,0x1028,0x100003,Event,,
0x82174318,1040,0x102c,0x100003,File,\Device\IPNAT,
0xe22ac378,1040,0x1030,0x1f0001,Port,,
0x82513750,1040,0x1034,0x1f03ff,Thread,TID 1060 PID 1040,
0x8239a348,1040,0x1038,0x1f0003,Event,,
0x82520960,1040,0x103c,0x1f0003,Event,,
0xe1f0a960,1040,0x1040,0x3,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\E,
0x82194570,1040,0x1044,0x1f0003,Event,,POCH
0x823f2568,1040,0x1048,0x1f0003,Event,,
0xe1c2f5c8,1040,0x104c,0x10,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\P,
0x823a2608,1040,0x1050,0x1f01ff,File,\Device\Afd\Endpoint,ARAMETERS\FIREWALLPOLICY
0xe1c2f560,1040,0x1054,0x10,Key,MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\P,
0x81f95650,1040,0x1058,0x1f01ff,File,\Device\Udp,ARAMETERS
0x81f95618,1040,0x105c,0x1f0003,Event,,
0x81f8a500,1040,0x1060,0x1f0003,Event,,
0x821b95d0,1040,0x1064,0x1f0003,Event,,
0xe1f55298,1040,0x1068,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x821b95a0,1040,0x106c,0x1f0003,Event,,
0x81f90340,1040,0x1070,0x1f0003,Event,,
0x81f90310,1040,0x1074,0x1f0003,Event,,
0x81f902e0,1040,0x1078,0x1f0003,Event,,
0x81f902b0,1040,0x107c,0x1f0003,Event,,
0x81f90280,1040,0x1080,0x1f0003,Event,,
0x81f90250,1040,0x1084,0x1f0003,Event,,
0x81f862c0,1040,0x1088,0x100000,Event,WBEM_ESS_OPEN_FOR_BUSINESS,
0x81f8a020,1040,0x108c,0x1f03ff,Thread,TID 1144 PID 1040,
0x81f862c0,1040,0x1090,0x1f0003,Event,WBEM_ESS_OPEN_FOR_BUSINESS,
0xe1f7e230,1040,0x1094,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x81f8a5c8,1040,0x1098,0x1f0003,Event,,
0x81f901a8,1040,0x109c,0x1f0003,Event,,
0x81f90178,1040,0x10a0,0x1f0003,Event,,
0x81f8a628,1040,0x10a4,0x1f0003,Event,,
0x81f8a5f8,1040,0x10a8,0x1f0003,Event,,
0x81f8a598,1040,0x10ac,0x1f0003,Event,,
0x821b8a10,1040,0x10b0,0x1f0003,Event,,
0x81f8a4a0,1040,0x10b4,0x1f0003,Event,,
0xe1f7fa00,1040,0x10b8,0xc,Token,,
0xe1f7f3a8,1040,0x10c0,0xc,Token,,
0x82397230,1040,0x10c4,0x1f03ff,Thread,TID 492 PID 1040,
0x81f8a388,1040,0x10c8,0x1f0003,Event,,
0xe1deee48,1040,0x10cc,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x81f8a358,1040,0x10d0,0x1f0003,Event,,
0x823f69f8,1040,0x10f4,0x100003,Event,,
0x8226c0f0,1040,0x10f8,0x12019f,File,\Device\NamedPipe\PIPE_EVENTROOT\CIMV2SCM EVENT PROV,
0x81fae258,1040,0x10fc,0x1f0003,Event,,IDER
0x823fc638,1040,0x1100,0x1f0003,Event,,
0x823fc608,1040,0x1104,0x1f0003,Event,,
0x823fc278,1040,0x1118,0x1f0003,Event,,
0x823fc248,1040,0x111c,0x1f0003,Event,,
0x823fc218,1040,0x1120,0x1f0003,Event,,
0x81fae320,1040,0x1124,0x1f0003,Event,,
0x8206d5a8,1040,0x1134,0x1f03ff,Thread,TID 1476 PID 1040,
0x81f8ac10,1040,0x113c,0x1f03ff,Thread,TID 1168 PID 1040,
0x823e7d40,1040,0x1140,0x1f0003,Event,,
0xe220d160,1040,0x1144,0x1f0001,Port,,
0xe1f68070,1040,0x1148,0x10,Key,MACHINE\SOFTWARE\MICROSOFT\SECURITY CENTER\MONITORIN,
0x821f7970,1040,0x114c,0x1f03ff,Thread,TID 232 PID 1040,G
0xe2197160,1040,0x1150,0x1f0001,Port,,
0xe1f225c8,1040,0x1164,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe219e228,1040,0x1168,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1f4e960,1040,0x116c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe109b5b8,1040,0x1178,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x82399fa0,1040,0x1188,0x1f0003,Event,,
0x81fae2b8,1040,0x1194,0x21f0003,Event,,
0xe219f228,1040,0x1198,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x823fc020,1040,0x119c,0x100003,Event,,
0x821b89b0,1040,0x11a0,0x1f0003,Event,,
0x82222da0,1040,0x11a4,0x1f03ff,Thread,TID 1320 PID 1040,
0x821b89e0,1040,0x11a8,0x1f0003,Event,,
0x81f73cd0,1040,0x11ac,0x1f0003,Event,,
0x8226c1e0,1040,0x11b4,0x1f0003,Event,,
0x82397230,1040,0x11b8,0x1f03ff,Thread,TID 492 PID 1040,
0xe213e2a0,1040,0x11bc,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0xe1085300,1040,0x11c0,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x81f84580,1040,0x11d4,0x478,Process,wscntfy.exe(604),
0x8222a970,1040,0x11d8,0x1f0003,Event,,
0x81fae698,1040,0x11e0,0x1f0003,Event,,
0x82535828,1040,0x11e4,0x1f03ff,Thread,TID 1656 PID 1040,
0x820742e0,1040,0x11e8,0x1f03ff,Thread,TID 1020 PID 1040,
0x82513320,1040,0x11ec,0x1f0003,Event,,
0x81faa298,1040,0x11f0,0x1f0003,Event,,
0x82074c20,1040,0x11f4,0x1f0003,Event,,
0x824cc2d8,1040,0x11f8,0x1f0003,Event,,
0x82324a48,1040,0x11fc,0x1f03ff,Thread,TID 1428 PID 1040,
0x821b8a40,1040,0x1200,0x1f0003,Event,,
0xe1737ef0,1040,0x1208,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x821b8a70,1040,0x1210,0x1f0003,Event,,
0x8250d5d0,1040,0x1214,0x1f0003,Event,,
0x8250d5a0,1040,0x1218,0x1f0003,Event,,
0x823f36b8,1040,0x121c,0x1f03ff,Thread,TID 2008 PID 1040,
0x82194810,1040,0x1220,0x1f03ff,Thread,TID 1280 PID 1040,
0x8219a340,1040,0x1224,0x1f0003,Event,,
0x8226b2d0,1040,0x1228,0x1f0003,Event,EVENT_READYROOT/CIMV2SCM EVENT PROVIDER,
0x8250d4b0,1040,0x122c,0x1f0003,Event,,
0x8250d480,1040,0x1230,0x1f0003,Event,,
0x8250d450,1040,0x1234,0x1f0003,Event,,
0x8250d420,1040,0x1238,0x1f0003,Event,,
0x8250d3f0,1040,0x123c,0x1f0003,Event,,
0x8250d3c0,1040,0x1240,0x1f0003,Event,,
0x8250d390,1040,0x1244,0x1f0003,Event,,
0x8250d360,1040,0x1248,0x1f0003,Event,,
0x8250d330,1040,0x124c,0x1f0003,Event,,
0x8250d300,1040,0x1250,0x1f0003,Event,,
0x8250d2d0,1040,0x1254,0x1f0003,Event,,
0x8250d2a0,1040,0x1258,0x1f0003,Event,,
0x8250d270,1040,0x125c,0x1f0003,Event,,
0x8250d240,1040,0x1260,0x1f0003,Event,,
0x8250d210,1040,0x1264,0x1f0003,Event,,
0x8250d1e0,1040,0x1268,0x1f0003,Event,,
0x8217f290,1040,0x1270,0x1f0003,Event,,
0x821b8980,1040,0x1274,0x1f0003,Event,,
0x821b8950,1040,0x1278,0x1f0003,Event,,
0x821b8920,1040,0x127c,0x1f0003,Event,,
0x821b88f0,1040,0x1280,0x1f0003,Event,,
0x821b88c0,1040,0x1284,0x1f0003,Event,,
0x821b8890,1040,0x1288,0x1f0003,Event,,
0x821b8860,1040,0x128c,0x1f0003,Event,,
0x821b8830,1040,0x1290,0x1f0003,Event,,
0x821b8800,1040,0x1294,0x1f0003,Event,,
0x821b87d0,1040,0x1298,0x1f0003,Event,,
0x821b87a0,1040,0x129c,0x1f0003,Event,,
0x821b8770,1040,0x12a0,0x1f0003,Event,,
0x821b8740,1040,0x12a4,0x1f0003,Event,,
0x821b8710,1040,0x12a8,0x1f0003,Event,,
0x821b86e0,1040,0x12ac,0x1f0003,Event,,
0x821b86b0,1040,0x12b0,0x1f0003,Event,,
0x821b8680,1040,0x12b4,0x1f0003,Event,,
0x821b8650,1040,0x12b8,0x1f0003,Event,,
0x821b8620,1040,0x12bc,0x1f0003,Event,,
0x821b85f0,1040,0x12c0,0x1f0003,Event,,
0x821b85c0,1040,0x12c4,0x1f0003,Event,,
0x821b8590,1040,0x12c8,0x1f0003,Event,,
0x821b8560,1040,0x12cc,0x1f0003,Event,,
0x821b8530,1040,0x12d0,0x1f0003,Event,,
0x821b8500,1040,0x12d4,0x1f0003,Event,,
0x821b84d0,1040,0x12d8,0x1f0003,Event,,
0x821b84a0,1040,0x12dc,0x1f0003,Event,,
0x821b8470,1040,0x12e0,0x1f0003,Event,,
0x8226c020,1040,0x12e4,0x1f0003,Event,,
0x8226c7c0,1040,0x12e8,0x1f0003,Event,,
0x8226c790,1040,0x12ec,0x1f0003,Event,,
0x8226c760,1040,0x12f0,0x1f0003,Event,,
0x8226c730,1040,0x12f4,0x1f0003,Event,,
0x8226c700,1040,0x12f8,0x1f0003,Event,,
0x8226c6d0,1040,0x12fc,0x1f0003,Event,,
0x8226c6a0,1040,0x1300,0x1f0003,Event,,
0x8226c670,1040,0x1304,0x1f0003,Event,,
0x8226c640,1040,0x1308,0x1f0003,Event,,
0x8226c610,1040,0x130c,0x1f0003,Event,,
0x8226c5e0,1040,0x1310,0x1f0003,Event,,
0x8226c5b0,1040,0x1314,0x1f0003,Event,,
0x8226c580,1040,0x1318,0x1f0003,Event,,
0x8226c550,1040,0x131c,0x1f0003,Event,,
0x8226c520,1040,0x1320,0x1f0003,Event,,
0x8226c4f0,1040,0x1324,0x1f0003,Event,,
0x8226c4c0,1040,0x1328,0x1f0003,Event,,
0x8226c490,1040,0x132c,0x1f0003,Event,,
0x8226c460,1040,0x1330,0x1f0003,Event,,
0x8226c430,1040,0x1334,0x1f0003,Event,,
0x8226c400,1040,0x1338,0x1f0003,Event,,
0x8226c3d0,1040,0x133c,0x1f0003,Event,,
0xe213e238,1040,0x1340,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x821f2688,1040,0x1344,0x1f03ff,Thread,TID 1272 PID 1040,
0x8251f9c8,1040,0x1348,0x1f0003,Event,,
0xe24a7350,1040,0x134c,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
0x8219a310,1040,0x1350,0x1f0003,Event,,
0x821f2688,1040,0x1354,0x1f03ff,Thread,TID 1272 PID 1040,
0xe1e928d0,1040,0x1358,0x20019,Key,MACHINE\SOFTWARE\CLASSES,
